fun_units,SC #114,SC #106,SC #113,SC #107,SC #112,SC #108,SC #109,SC #157,SC #110,SC #111,SC #105,SC #161,SC #104,SC #103,sum
Forestry,9142393.45335516,0.0,0.0,1210013.50446429,0.0,0.0,0.0,1319554.02589201,12620612.6213592,16315293.4390771,0.0,0.0,0.0,140030.331753554,40747897.37590131
Grazing Open,1420371.84942717,0.0,6980230.79829948,3500039.0625,3881273.85542169,3259443.92324094,270083.591331269,8627084.27533944,5240254.36893204,2749206.92141312,581558.59030837,878053.846153846,2570401.08043217,3810825.45700745,43768827.61980699
Sugarcane,11523016.6939444,66500.0,61942048.0869154,9690108.14732143,24948188.1325301,25845590.6183369,2390739.9380805,2689091.15882539,9840477.66990291,4788618.60129777,1283439.64757709,548783.653846154,8701357.74309724,21394634.2586324,185652594.35030767
Other,100026.186579378,0.0,500016.532829476,1010011.27232143,520170.722891566,859853.304904051,90027.8637770898,39986.4856330913,110005.339805825,909737.563085797,0.0,0.0,420065.546218487,270058.496953284,4829959.314999476
Irrigated Cropping,0.0,0.0,0.0,0.0,330108.343373494,0.0,0.0,0.0,50002.427184466,0.0,0.0,0.0,0.0,0.0,380110.77055796
Water,1020267.10310966,19000.0,750024.799244214,440004.910714286,660216.686746988,1549735.60767591,0.0,8327185.63309125,30001.4563106796,29991.3482335977,230618.061674009,139690.384615385,1290201.32052821,1100238.32092079,15587175.632864978
Grazing Forested,5111338.13420622,0.0,6460213.60415683,6120068.30357143,1110364.42771084,3919331.34328358,480148.606811145,7267543.76381434,4890237.37864078,9197346.79163663,70188.1057268723,429049.038461538,570088.955582233,5581208.93703453,51207127.390636966
Urban,230060.22913257,0.0,4010132.5932924,1830020.42410714,1500492.46987952,1379764.60554371,0.0,529820.934638459,210010.194174757,2449293.43907714,30080.6167400881,59867.3076923077,830129.531812725,3920849.28909953,16980521.63519035
Horticulture,650170.212765957,0.0,20000.661313179,0.0,260085.361445783,0.0,0.0,0.0,180008.737864078,9997.1160778659,0.0,0.0,400062.424969988,10002.1665538253,1530326.6809906762
Conservation,7471956.13747954,0.0,4020132.92394898,3080034.375,0.0,5389080.59701493,0.0,2859033.72276602,3910189.80582524,5148514.78010094,80214.9779735683,19955.7692307692,1880293.39735894,8091752.74204469,41951159.22874362
Dryland Cropping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
